,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-001,Neutral/Upright/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 329.0344562312671}","[[18 12]
 [ 0  6]]",100.0,83.8,80.0,100.0,72.8,66.7,100.0,41.2,33.3,1.0,0.526,0.447,100.0,100.0,100.0,1.0,0.385,1.0,0.676,0.619,1.0,0.571,0.5,1.0,0.838,0.8,0.496,0.031
0,sub-001,Neutral/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 1  5]]",92.2,71.7,90.0,96.5,87.0,94.4,93.2,61.0,83.3,0.873,0.478,0.8,85.7,48.3,83.3,0.915,0.833,0.877,0.486,0.833,0.891,0.502,0.833,0.922,0.717,0.9,8.6,0.036
0,sub-001,Neutral/Upright/Faces,RF,"{'RF__n_estimators': 1474, 'RF__min_samples_split': 10, 'RF__min_samples_leaf': 4, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 53, 'RF__max_depth': 16, 'RF__class_weight': 'balanced_subsample'}","[[30  0]
 [ 5  1]]",71.0,50.0,58.3,90.4,83.4,86.1,100.0,0.0,100.0,0.61,0.0,0.378,42.0,0.0,16.7,0.774,0.5,0.508,0.0,0.224,0.585,0.0,0.286,0.71,0.5,0.583,5.769,0.515
0,sub-001,Neutral/Upright/Silhouettes,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.07880462815669913}","[[16 14]
 [ 1  5]]",100.0,69.6,68.3,100.0,66.5,58.3,100.0,34.9,26.3,1.0,0.329,0.274,100.0,75.0,83.3,1.0,0.305,1.0,0.533,0.5,1.0,0.461,0.4,1.0,0.696,0.683,0.63,0.028
0,sub-001,Neutral/Upright/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  2]
 [ 4  2]]",86.7,52.5,63.3,93.0,77.9,83.3,80.1,18.3,50.0,0.745,0.055,0.316,77.3,15.0,33.3,0.794,0.455,0.78,0.153,0.371,0.785,0.157,0.4,0.867,0.525,0.633,8.398,0.037
0,sub-001,Neutral/Upright/Silhouettes,RF,"{'RF__n_estimators': 1108, 'RF__min_samples_split': 4, 'RF__min_samples_leaf': 4, 'RF__max_samples': 0.4, 'RF__max_leaf_nodes': 74, 'RF__max_depth': 79, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 6  0]]",59.0,50.0,50.0,86.3,83.4,83.3,100.0,0.0,0.0,0.381,0.0,0.0,17.9,0.0,0.0,0.494,0.0,0.236,0.0,0.0,0.295,0.0,0.0,0.59,0.5,0.5,4.948,0.441
0,sub-001,Green/Upright/Faces,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.0016102620275609393}","[[22  8]
 [ 1  5]]",100.0,84.2,78.3,100.0,73.6,75.0,100.0,39.9,38.5,1.0,0.521,0.44,100.0,100.0,83.3,1.0,0.431,1.0,0.675,0.613,1.0,0.565,0.526,1.0,0.842,0.783,0.424,0.032
0,sub-001,Green/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 2  4]]",92.9,75.0,83.3,96.6,88.3,94.4,91.8,73.3,100.0,0.876,0.561,0.791,87.5,55.0,66.7,0.909,0.909,0.887,0.579,0.743,0.895,0.607,0.8,0.929,0.75,0.833,8.081,0.034
0,sub-001,Green/Upright/Faces,RF,"{'RF__n_estimators': 254, 'RF__min_samples_split': 5, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.9, 'RF__max_leaf_nodes': 119, 'RF__max_depth': 76, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 3  3]]",100.0,71.7,75.0,100.0,91.0,91.7,100.0,70.0,100.0,1.0,0.525,0.674,100.0,43.3,50.0,1.0,0.833,1.0,0.483,0.591,1.0,0.523,0.667,1.0,0.717,0.75,1.115,0.122
0,sub-001,Green/Upright/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.014873521072935119}","[[20 10]
 [ 2  4]]",100.0,70.4,66.7,100.0,65.5,66.7,100.0,32.2,28.6,1.0,0.321,0.255,100.0,78.3,66.7,1.0,0.323,1.0,0.524,0.473,1.0,0.442,0.4,1.0,0.704,0.667,0.559,0.032
