,participant_id,Condition,Classifier,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-001,Neutral/Upright/Faces,SVM,"[[18 12]
 [ 0  6]]",100.0,75.0,80.0,100.0,60.0,66.7,100.0,33.3,33.3,1.0,0.408,0.447,100.0,100.0,100.0,1.0,0.385,1.0,0.619,0.619,1.0,0.5,0.5,1.0,0.75,0.8,0.462,0.024
1,sub-001,Neutral/Upright/Faces,LDA,"[[29  1]
 [ 1  5]]",89.6,91.7,90.0,95.3,86.7,94.4,89.5,60.0,83.3,0.824,0.707,0.8,81.0,100.0,83.3,0.876,0.833,0.834,0.83,0.833,0.85,0.75,0.833,0.896,0.917,0.9,1.217,0.038
2,sub-001,Neutral/Upright/Faces,RF,"[[30  0]
 [ 5  1]]",100.0,50.0,58.3,100.0,80.0,86.1,100.0,0.0,100.0,1.0,0.0,0.378,100.0,0.0,16.7,1.0,0.5,1.0,0.0,0.224,1.0,0.0,0.286,1.0,0.5,0.583,0.554,0.064
3,sub-001,Neutral/Upright/Silhouettes,SVM,"[[16 14]
 [ 1  5]]",100.0,87.5,68.3,100.0,80.0,58.3,100.0,50.0,26.3,1.0,0.612,0.274,100.0,100.0,83.3,1.0,0.305,1.0,0.765,0.5,1.0,0.667,0.4,1.0,0.875,0.683,0.712,0.04
4,sub-001,Neutral/Upright/Silhouettes,LDA,"[[28  2]
 [ 4  2]]",88.2,41.7,63.3,93.0,66.7,83.3,77.3,0.0,50.0,0.749,-0.196,0.316,81.0,0.0,33.3,0.78,0.455,0.798,0.0,0.371,0.791,0.0,0.4,0.882,0.417,0.633,1.812,0.047
5,sub-001,Neutral/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.584,0.074
6,sub-001,Green/Upright/Faces,SVM,"[[21  9]
 [ 1  5]]",100.0,79.2,76.7,100.0,66.7,72.2,100.0,37.5,35.7,1.0,0.468,0.408,100.0,100.0,83.3,1.0,0.403,1.0,0.661,0.591,1.0,0.545,0.5,1.0,0.792,0.767,0.577,0.044
7,sub-001,Green/Upright/Faces,LDA,"[[30  0]
 [ 2  4]]",92.4,79.2,83.3,96.9,86.7,94.4,94.7,66.7,100.0,0.883,0.583,0.791,85.7,66.7,66.7,0.928,0.909,0.883,0.667,0.743,0.9,0.667,0.8,0.924,0.792,0.833,1.88,0.046
8,sub-001,Green/Upright/Faces,RF,"[[30  0]
 [ 6  0]]",100.0,100.0,50.0,100.0,100.0,83.3,100.0,100.0,0.0,1.0,1.0,0.0,100.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.544,0.063
9,sub-001,Green/Upright/Silhouettes,SVM,"[[20 10]
 [ 2  4]]",100.0,83.3,66.7,100.0,73.3,66.7,100.0,42.9,28.6,1.0,0.535,0.255,100.0,100.0,66.7,1.0,0.323,1.0,0.709,0.473,1.0,0.6,0.4,1.0,0.833,0.667,0.723,0.047
10,sub-001,Green/Upright/Silhouettes,LDA,"[[26  4]
 [ 5  1]]",87.2,50.0,51.7,94.6,80.0,75.0,88.9,0.0,20.0,0.792,0.0,0.036,76.2,0.0,16.7,0.86,0.192,0.797,0.0,0.176,0.821,0.0,0.182,0.872,0.5,0.517,0.952,0.048
11,sub-001,Green/Upright/Silhouettes,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.567,0.081
12,sub-001,Neutral/Inverted/Faces,SVM,"[[23  7]
 [ 0  6]]",100.0,83.3,88.3,100.0,73.3,80.6,100.0,42.9,46.2,1.0,0.535,0.595,100.0,100.0,100.0,1.0,0.517,1.0,0.709,0.736,1.0,0.6,0.632,1.0,0.833,0.883,0.556,0.024
13,sub-001,Neutral/Inverted/Faces,LDA,"[[29  1]
 [ 2  4]]",92.4,41.7,81.7,96.9,66.7,91.7,94.7,0.0,80.0,0.883,-0.196,0.683,85.7,0.0,66.7,0.928,0.769,0.883,0.0,0.703,0.9,0.0,0.727,0.924,0.417,0.817,1.291,0.023
14,sub-001,Neutral/Inverted/Faces,RF,"[[30  0]
 [ 6  0]]",100.0,50.0,50.0,100.0,80.0,83.3,100.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.55,0.066
15,sub-001,Neutral/Inverted/Silhouettes,SVM,"[[21  9]
 [ 1  5]]",100.0,83.3,76.7,100.0,73.3,72.2,100.0,42.9,35.7,1.0,0.535,0.408,100.0,100.0,83.3,1.0,0.403,1.0,0.709,0.591,1.0,0.6,0.5,1.0,0.833,0.767,0.728,0.025
16,sub-001,Neutral/Inverted/Silhouettes,LDA,"[[30  0]
 [ 4  2]]",91.9,83.3,66.7,96.1,93.3,88.9,90.0,100.0,100.0,0.855,0.784,0.542,85.7,66.7,33.3,0.891,0.714,0.87,0.743,0.419,0.878,0.8,0.5,0.919,0.833,0.667,0.997,0.05
