,participant_id,Condition,Classifier,Parameters Used,Confusion_Matrix,CV_Train_Bal_Accuracy,CV_Test_Bal_Accuracy,Test_Bal_Accuracy,CV_Train_Accuracy,CV_Test_Accuracy,Test_Accuracy,CV_Train_Precision,CV_Test_Precision,Test_Precision,CV_Train_Matthews_coef,CV_Test_Matthews_coef,Matthews_Coef,CV_Train_Recall,CV_Test_Recall,Test_recall,CV_Train_Fbeta_0.5,Fbeta_0.5,CV_Train_Fbeta_1.5,CV_Test_Fbeta_1.5,Fbeta_1.5,CV_Train_F1,CV_Test_F1,F1_score,CV_Train_ROC_AUC,CV_Test_ROC_AUC,Test_ROC_AUC,Mean Fit Time,Mean Score Time
0,sub-001,Neutral/Upright/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 0.0016102620275609393}","[[18 12]
 [ 0  6]]",99.1,82.1,80.0,98.5,70.0,66.7,91.7,40.0,33.3,0.948,0.506,0.447,100.0,100.0,100.0,0.932,0.385,0.972,0.662,0.619,0.956,0.556,0.5,0.991,0.821,0.8,0.237,0.029
1,sub-001,Neutral/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[29  1]
 [ 1  5]]",92.2,71.7,90.0,96.5,87.0,94.4,93.2,61.0,83.3,0.873,0.478,0.8,85.7,48.3,83.3,0.915,0.833,0.877,0.486,0.833,0.891,0.502,0.833,0.922,0.717,0.9,8.999,0.036
2,sub-001,Neutral/Upright/Faces,RF,"{'RF__n_estimators': 2305, 'RF__min_samples_split': 7, 'RF__min_samples_leaf': 5, 'RF__max_samples': 1.0, 'RF__max_leaf_nodes': 128, 'RF__max_depth': 38, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 5  1]]",80.3,51.7,58.3,93.4,84.1,86.1,100.0,10.0,100.0,0.747,0.053,0.378,60.5,3.3,16.7,0.878,0.5,0.685,0.042,0.224,0.748,0.05,0.286,0.803,0.517,0.583,2.137,0.21
3,sub-001,Neutral/Upright/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 329.0344562312671}","[[16 14]
 [ 1  5]]",100.0,69.2,68.3,100.0,65.9,58.3,100.0,34.2,26.3,1.0,0.321,0.274,100.0,75.0,83.3,1.0,0.305,1.0,0.528,0.5,1.0,0.454,0.4,1.0,0.692,0.683,0.623,0.029
4,sub-001,Neutral/Upright/Silhouettes,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[28  2]
 [ 4  2]]",86.7,52.5,63.3,93.0,77.9,83.3,80.1,18.3,50.0,0.745,0.055,0.316,77.3,15.0,33.3,0.794,0.455,0.78,0.153,0.371,0.785,0.157,0.4,0.867,0.525,0.633,8.733,0.034
5,sub-001,Neutral/Upright/Silhouettes,RF,"{'RF__n_estimators': 2788, 'RF__min_samples_split': 10, 'RF__min_samples_leaf': 4, 'RF__max_samples': 0.30000000000000004, 'RF__max_leaf_nodes': 156, 'RF__max_depth': 18, 'RF__class_weight': None}","[[30  0]
 [ 6  0]]",50.0,50.0,50.0,83.3,83.4,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,12.876,1.095
6,sub-001,Green/Upright/Faces,SVM,"{'SVM__class_weight': 'balanced', 'SVM__C': 108.2636733874054}","[[21  9]
 [ 1  5]]",100.0,84.2,76.7,100.0,73.6,72.2,100.0,39.9,35.7,1.0,0.521,0.408,100.0,100.0,83.3,1.0,0.403,1.0,0.675,0.591,1.0,0.565,0.5,1.0,0.842,0.767,0.506,0.031
7,sub-001,Green/Upright/Faces,LDA,"{'LDA__store_covariance': True, 'LDA__n_components': 1}","[[30  0]
 [ 2  4]]",92.9,75.0,83.3,96.6,88.3,94.4,91.8,73.3,100.0,0.876,0.561,0.791,87.5,55.0,66.7,0.909,0.909,0.887,0.579,0.743,0.895,0.607,0.8,0.929,0.75,0.833,8.742,0.034
8,sub-001,Green/Upright/Faces,RF,"{'RF__n_estimators': 1218, 'RF__min_samples_split': 3, 'RF__min_samples_leaf': 5, 'RF__max_samples': 0.8, 'RF__max_leaf_nodes': 147, 'RF__max_depth': 78, 'RF__class_weight': 'balanced'}","[[30  0]
 [ 3  3]]",97.7,61.7,75.0,99.2,87.5,91.7,100.0,50.0,100.0,0.972,0.321,0.674,95.4,23.3,50.0,0.99,0.833,0.967,0.276,0.591,0.976,0.313,0.667,0.977,0.617,0.75,10.16,0.934
9,sub-001,Green/Upright/Silhouettes,SVM,"{'SVM__class_weight': None, 'SVM__C': 0.008531678524172814}","[[20 10]
 [ 2  4]]",100.0,70.4,66.7,100.0,65.5,66.7,100.0,31.8,28.6,1.0,0.318,0.255,100.0,78.3,66.7,1.0,0.323,1.0,0.522,0.473,1.0,0.439,0.4,1.0,0.704,0.667,0.645,0.028
